framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
ABAVIJ_clean,720,240,480,6480,38,648,1.3351,0.0281,2.1425,3.4776,-1.1758,0.0324,4.45543,2.4972,,https://mof.tech.northwestern.edu/mofs/173866.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABAYIO_clean,1024,384,640,5376,50,538,1.2935,0.0294,2.0423,3.3358,-1.5879,0.0288,11.3949,4.3226,,https://mof.tech.northwestern.edu/mofs/173867.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABAYOU_clean,1024,384,640,5376,50,538,1.2872,0.0142,2.0412,3.3284,-1.5754,0.0146,11.2734,4.5108,,https://mof.tech.northwestern.edu/mofs/173868.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABETIN_clean,256,128,128,6272,52,628,1.2628,0.0202,2.1175,3.3802,-1.5595,0.0149,9.47418,7.83744,,https://mof.tech.northwestern.edu/mofs/173872.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABEXEN_clean,288,96,192,3840,74,384,1.1513,0.0129,1.7641,2.9155,-1.4121,0.0181,18.8079,13.7187,,https://mof.tech.northwestern.edu/mofs/173874.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABEYIR_clean,800,320,480,5760,52,576,1.2576,0.0207,1.9725,3.2301,-1.4061,0.0194,4.69665,3.92183,,https://mof.tech.northwestern.edu/mofs/173880.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABIYIV_clean,576,192,384,5696,44,570,1.2243,0.0168,1.9576,3.1819,-1.1179,0.0181,4.33176,3.82431,,https://mof.tech.northwestern.edu/mofs/173881.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ABULOB_clean,1,0,1,6624,46,663,1.4748,0.01,2.1174,3.5922,-1.6536,0.0077,4.86958,4.16445,,https://mof.tech.northwestern.edu/mofs/173882.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACAJIY_clean,432,108,324,6912,63,692,1.1981,0.012,1.9243,3.1225,-1.0294,0.0194,4.94766,3.4178,,https://mof.tech.northwestern.edu/mofs/173885.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACAJIZ_clean,480,120,360,6960,56,696,1.0744,0.0166,1.9781,3.0525,-1.029,0.0222,6.1865,5.74044,,https://mof.tech.northwestern.edu/mofs/173886.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACAJOF_clean,384,96,288,5856,62,586,1.076,0.0081,1.8223,2.8982,-1.0622,0.0109,6.86398,6.10482,,https://mof.tech.northwestern.edu/mofs/173887.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACALIB_clean,320,160,160,6080,72,608,1.2589,0.0155,1.8113,3.0702,-1.408,0.0204,3.96462,2.41854,,https://mof.tech.northwestern.edu/mofs/173889.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACIBIY_clean,1297,1,1296,5832,34,584,1.2923,0.0216,2.1288,3.4212,-1.232,0.0263,5.10081,3.73403,,https://mof.tech.northwestern.edu/mofs/173891.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACIBOE_clean,324,108,216,4320,36,432,1.2196,0.0174,2.1825,3.402,-1.4116,0.0204,8.25776,7.03071,,https://mof.tech.northwestern.edu/mofs/173892.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACOCOM_clean,96,48,48,4224,79,423,1.2069,0.009,1.6167,2.8236,-1.4077,0.0155,24.6064,13.0343,,https://mof.tech.northwestern.edu/mofs/173893.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACOCUS_clean,144,96,48,4224,79,423,1.2366,0.0104,1.6169,2.8535,-1.4116,0.013,24.3842,13.2222,,https://mof.tech.northwestern.edu/mofs/173894.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACODAZ_clean,144,96,48,4224,79,423,1.2379,0.0062,1.6163,2.8542,-1.4088,0.0074,23.2918,13.1165,,https://mof.tech.northwestern.edu/mofs/173895.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACODUT_clean,65,60,5,6540,43,654,1.1808,0.0149,1.9784,3.1591,-1.0595,0.018,5.4607,3.36863,,https://mof.tech.northwestern.edu/mofs/173897.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACOLIP_clean,384,128,256,6528,92,653,1.2161,0.0115,1.8142,3.0303,-1.5639,0.0082,4.91034,3.57647,,https://mof.tech.northwestern.edu/mofs/173901.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACOLOV_clean,80,40,40,4560,101,456,1.0079,0.0176,1.4775,2.4854,-1.3522,0.0201,8.42183,5.53552,,https://mof.tech.northwestern.edu/mofs/173902.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ACUJOZ_manual,216,108,108,3834,43,384,1.2075,0.0239,2.06,3.2676,-1.4992,0.0302,11.5081,7.82539,,https://mof.tech.northwestern.edu/mofs/173932.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADABIS_clean,600,240,360,5640,40,564,1.327,0.0072,2.0717,3.3986,-0.7553,0.0112,3.98906,3.05237,,https://mof.tech.northwestern.edu/mofs/173934.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADABUE_clean,600,240,360,5640,40,564,1.341,0.0124,2.0724,3.4134,-0.7768,0.0094,4.54949,3.31506,,https://mof.tech.northwestern.edu/mofs/173935.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADASAB_charged,176,80,96,4352,70,436,1.2038,0.019,1.8141,3.0179,-1.5248,0.0099,22.824,13.4901,,https://mof.tech.northwestern.edu/mofs/173937.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADASEF_clean,352,160,192,6208,70,621,1.2706,0.0251,1.8733,3.1439,-1.4953,0.0259,21.6241,10.9231,,https://mof.tech.northwestern.edu/mofs/173938.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADATAC_clean,256,192,64,6720,78,672,1.4208,0.0066,1.864,3.2848,-1.435,0.0158,26.3351,10.2764,,https://mof.tech.northwestern.edu/mofs/173939.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADATEG_manual,20,12,8,1160,50,116,0.9758,0.0317,1.5275,2.5033,-1.3482,0.0548,27.3378,13.339,,https://mof.tech.northwestern.edu/mofs/173940.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADATIK_clean,352,160,192,6976,78,698,1.2463,0.02,1.8475,3.0938,-1.4586,0.0187,24.5508,12.1743,,https://mof.tech.northwestern.edu/mofs/173941.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADATOQ_clean,160,96,64,5536,93,554,1.0989,0.0159,1.7663,2.8652,-1.4257,0.0137,10.5421,9.07611,,https://mof.tech.northwestern.edu/mofs/173942.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADATUW_clean,160,96,64,5536,93,554,1.0954,0.0137,1.7669,2.8623,-1.4253,0.0157,10.3463,8.86044,,https://mof.tech.northwestern.edu/mofs/173943.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADAVIM_clean,160,96,64,5344,93,535,1.1022,0.0071,1.7658,2.868,-1.4589,0.0117,10.3456,8.90065,,https://mof.tech.northwestern.edu/mofs/173944.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADAXEK_clean,380,20,360,6720,47,672,1.2136,0.0139,1.9157,3.1293,-1.0883,0.011,5.76724,4.10445,,https://mof.tech.northwestern.edu/mofs/173945.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADAXIO_clean,342,18,324,6048,37,605,1.2984,0.026,2.0822,3.3807,-1.0598,0.0275,5.72682,5.00855,,https://mof.tech.northwestern.edu/mofs/173946.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADIQEL_clean,576,192,384,6720,38,672,1.3124,0.0183,2.2042,3.5166,-1.0949,0.0115,4.43355,3.91364,,https://mof.tech.northwestern.edu/mofs/173949.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADOBIF_clean,217,1,216,6912,40,692,1.4332,0.0149,2.1054,3.5385,-1.3471,0.0166,5.54781,3.82743,,https://mof.tech.northwestern.edu/mofs/173952.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADOCEC_clean,217,1,216,6696,40,670,1.4363,0.0164,2.1004,3.5367,-1.2984,0.0139,5.40135,3.83278,,https://mof.tech.northwestern.edu/mofs/173955.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADODAA_charged,576,144,432,4896,42,490,1.0966,0.0183,2.1126,3.2092,-1.478,0.0158,10.017,4.9065,,https://mof.tech.northwestern.edu/mofs/173956.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
ADOGEH_clean,224,96,128,3648,44,365,1.0655,0.015,1.9088,2.9743,-1.2033,0.0171,12.7145,5.05258,,https://mof.tech.northwestern.edu/mofs/173960.json,"experimentally synthesised (CoRE MOF 2019, Zenodo 10.5281/zenodo.3370236)"
