framework_id,n_blocks,n_nodes,n_linkers,n_atoms_supercell,graph_diameter,n_influential,delta_alpha,delta_alpha_sd,alpha_min,alpha_max,asymmetry_A,asymmetry_sd,lcd_angstrom,pld_angstrom,mofid,source_url,provenance
hMOF-138,192,48,144,3024,56,303,1.0162,0.0252,1.7339,2.75,-1.3311,0.0305,11.25,9.75,[O-]C(=O)C1=CC=C([C]=C1)C1=CC=C(C=[C]1)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15474.json,"hMOF (hypothetical, not synthesised)"
hMOF-135,192,48,144,3024,56,303,1.0163,0.0229,1.7323,2.7486,-1.3351,0.0393,10.75,9.75,[O-]C(=O)C1=C[C]=C(C=C1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl.[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1Cl)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15473.json,"hMOF (hypothetical, not synthesised)"
hMOF-117,192,48,144,3024,56,303,1.0176,0.0262,1.7339,2.7515,-1.3326,0.0314,11.75,11.25,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15453.json,"hMOF (hypothetical, not synthesised)"
hMOF-0,256,64,192,3392,56,340,1.0197,0.0134,1.7663,2.786,-1.3587,0.0095,11.75,10.75,[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15339.json,"hMOF (hypothetical, not synthesised)"
hMOF-18,256,64,192,3392,56,340,1.0201,0.0249,1.766,2.7861,-1.3511,0.0222,10.25,9.25,[O-]C(=O)c1cc(Cl)c(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1Cl)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15356.json,"hMOF (hypothetical, not synthesised)"
hMOF-25,256,64,192,3392,56,340,1.0224,0.0153,1.7661,2.7885,-1.3604,0.0111,10.25,9.25,[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15363.json,"hMOF (hypothetical, not synthesised)"
hMOF-40,256,64,192,3392,56,340,1.0229,0.0151,1.766,2.7889,-1.3623,0.0257,9.25,8.25,[O-]C(=O)c1cc(Br)c(cc1Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15378.json,"hMOF (hypothetical, not synthesised)"
hMOF-132,192,48,144,3024,56,303,1.0279,0.0118,1.7325,2.7604,-1.3534,0.0219,10.75,9.25,ClC1=C([C]=CC(=C1)C(=O)[O-])C1=[C]C(=C(C=C1)C(=O)[O-])Cl.[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15471.json,"hMOF (hypothetical, not synthesised)"
hMOF-20,256,64,192,3392,56,340,1.0293,0.0171,1.7662,2.7955,-1.3714,0.0246,10.75,9.25,[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-].[O-]C(=O)c1ccc(c(c1Cl)Cl)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15358.json,"hMOF (hypothetical, not synthesised)"
hMOF-144,192,48,144,3024,56,303,1.0303,0.0226,1.7325,2.7628,-1.3391,0.0171,11.25,10.25,Clc1c(cc(c(c1Cl)C(=O)[O-])Cl)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[O-]C(=O)c1cc(Cl)c(cc1Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0,/mofs/15481.json,"hMOF (hypothetical, not synthesised)"
